tab name	bk24na/chap_id	V	col	search str	replace str	succ_or_fail	date
"ספרי אמ""ת"	ספר תהלים/יח	ג	E	274	274.	success	Fri Mar 06 2026
נביאים ראשונים	"ספר מלכים/מל""ב יט"	טז	E	{{נוסח|וּֽשְׁﬞמָ֔ע|2=וּֽשֲׁמָ֔ע	{{נוסח|וּֽשְׁﬞמָ֔ע|2=א=וּֽשֲׁמָ֔ע	success	Sat Mar 07 2026
נביאים אחרונים	ספר יחזקאל/ד	י	E	{{נוסח|תֹּאכְﬞלֶֽנּוּ|2=א=תֹּאכְלֶֽנּוּ	{{נוסח|תֹּאכְﬞלֶֽנּוּ|2=א=תֹּאכֲלֶֽנּוּ	success	Sat Mar 07 2026
נביאים ראשונים	ספר יהושע/א	יא	E	אֱלֹֽהֵיכֶ֔ם	אֱלֹהֵיכֶ֔ם	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ג	ו	E	וַיֵּֽלְכ֖וּ	וַיֵּלְכ֖וּ	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ג	ח	E	נֹֽשְׂאֵ֥י	נֹשְׂאֵ֥י	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ג	יד	E	לַֽעֲבֹ֖ר	לַעֲבֹ֖ר	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ג	טז	E	וַיַּֽעַמְד֡וּ	וַיַּעַמְד֡וּ	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ג	טז	E	"{{כו""ק|באדם|מֵֽאָדָ֤ם}}"	"{{כו""ק|באדם|מֵאָדָ֤ם}}"	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ד	ו	E	הָֽאֲבָנִ֥ים	הָאֲבָנִ֥ים	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ד	ח	E	בְּנֵֽי־יִשְׂרָאֵל֮	בְּנֵי־יִשְׂרָאֵל֮	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ד	י	E	הָֽאָר֗וֹן	הָאָר֗וֹן	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ד	יא	E	כַּֽאֲשֶׁר־תַּ֥ם	כַּאֲשֶׁר־תַּ֥ם	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ו	ח	E	וְתָֽקְע֖וּ	וְתָקְע֖וּ	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ז	א	E	וַיִּֽחַר־אַ֥ף	וַיִּחַר־אַ֥ף	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ז	ב	E	הָֽאֲנָשִׁ֔ים	הָאֲנָשִׁ֔ים	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ז	כ	E	אָֽנֹכִ֤י	אָנֹכִ֤י	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ח	טז	E	אַֽחֲרֵ֣י	אַחֲרֵ֣י	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ח	כ	E	אֶל־הָֽרוֹדֵֽף׃	אֶל־הָרוֹדֵֽף׃	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ח	כז	E	{{נוסח|בָּֽזְﬞז֥וּ|2=א=בָּֽזֲז֥וּ	{{נוסח|בָּזְﬞז֥וּ|2=א=בָּזֲז֥וּ	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ח	לא	E	כַּֽאֲשֶׁ֣ר	כַּאֲשֶׁ֣ר	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/ט	ד	E	וַיַּֽעֲשׂ֤וּ	וַיַּעֲשׂ֤וּ	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/י	ה	E	יְרֽוּשָׁל{{מ:ירושלם|ַ|֜}}ם	יְרוּשָׁל{{מ:ירושלם|ַ|֜}}ם	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יב	ה	E	מֶֽלֶךְ־חֶשְׁבּֽוֹן׃	מֶלֶךְ־חֶשְׁבּֽוֹן׃	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יב	י	E	יְרֽוּשָׁל{{מ:ירושלם|ַ|֙}}ם֙	יְרוּשָׁל{{מ:ירושלם|ַ|֙}}ם֙	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יג	ג	E	הָֽעַזָּתִ֤י	הָעַזָּתִ֤י	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יג	ז	E	וַֽחֲצִ֖י	וַחֲצִ֖י	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יג	ל	E	מֶֽלֶךְ־הַבָּשָׁ֗ן	מֶלֶךְ־הַבָּשָׁ֗ן	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יד	ז	E	{{נוסח|עִם־לְֽבָבִֽי|2==א וכן	{{נוסח|עִם־לְבָבִֽי|2==א?,ל (אין	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יד	ז	E	"במג""ה"	געיה), וכך אצל ברויאר וכמו כן בדפוסים.{{ש}}א?=עִם־לְֽבָבִֽי	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יד	ז	E	"בלמ""ד){{ש}}ברויאר=עִם־לְבָבִֽי"	באות	success	Thu Mar 12 2026
נביאים ראשונים	ספר יהושע/יד	ז	E	(בלי	ל?);	success	Thu Mar 12 2026
