dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2026-03-05 00:00:00	BD	various	Applied 74 auto-edits.		
2026-02-05 00:00:00	BD	various	Applied 11 auto-edits.		
04/26/2026	BD	various	Applied 140 auto-edits.		
04/22/2026	S(A)K	תהלים יד,א	Added varika in the words הִֽשְׁﬞחִ֗יתוּ הִֽתְﬞעִ֥יבוּ, as in other cases of hataph hiriq.		
04/22/2026	BD	various	Applied 1 auto-edits.		
04/21/2026	BD	various	Applied 1 auto-edits.		
04/20/2026	BD	various	Applied 148 auto-edits.		
04/20/2026	BD	various	Applied 5 auto-edits.		
04/20/2026	BD	various	Applied 14 auto-edits.		
04/17/2026	BD	various	Applied 2 auto-edits.		
04/16/2026	BD	various	Applied 2 auto-edits.		
04/15/2026	BD	various	Applied 3 auto-edits.		
04/14/2026	BD	various	Applied 3 auto-edits.		
04/14/2026	BD	various	Applied 9 auto-edits.		
04/14/2026	BD	various	Applied 1 auto-edits.		
04/14/2026	BD	various	Applied 1 auto-edits.		
2026-02-04 00:00:00	BD	various	Applied 8 auto-edits.		
03/30/2026	BD	various	Applied 4 auto-edits.		
03/30/2026	BD	various	Applied 13 auto-edits.		
03/29/2026	BD	various	Applied 1 auto-edits.		
03/29/2026	BD	various	Applied 19 auto-edits.		
03/16/2026	BD	various	Applied 1 auto-edits.		
03/16/2026	BD	various	Applied 9 auto-edits.		
2026-03-15 00:00:00	BD	דברים	Remove 7 spurious meteg marks from late Deuteronomy (as in AC). Removed meteg in: 28:20 מַֽעֲלָלֶ֖יךָ, 28:44 תִּֽהְיֶ֥ה, 29:25 לֹֽא־יְדָע֔וּם, 30:15 הַֽחַיִּ֖ים, 31:12 הָֽאֲנָשִׁ֤ים, 32:30 וַֽיהֹוָ֖ה, 32:50 כַּֽאֲשֶׁר־מֵ֞ת. To be imported via auto-edits.		
2026-12-03 00:00:00	BD	various	Applied 79 auto-edits.		
2026-12-03 00:00:00	BD	יהושע	Removed 50 (!) געיה marks (as in AC).		
2026-07-12 00:00:00	S(A)K	ספר תהלים	In the Book of Psalms, deleted meteg in the following words (as found in AC): Psalms 7:5 (צוֹרְﬞרִ֣י) and also in note; Psalms 27:4 (בְּהֵיכָלֽוֹ); Psalms 62:12 (לֵאלֹהִֽים); Psalms 68:11 (לֶעָנִ֣י); Psalms 71:5 (כִּי־אַתָּ֥ה); Psalms 86:2 (כִּי־חָסִ֪יד); Psalms 86:5 (לְכָל־קֹרְאֶֽיךָ); Psalms 96:8 (שְׂאוּ־מִ֝נְחָ֗ה); Psalms 123:4 (הַשַּׁאֲנַנִּ֑ים); Psalms 138:5 (כִּי־גָ֝ד֗וֹל); Psalms 145:6 (נוֹרְאֹתֶ֣יךָ). Credit to Ben Denckla. To be imported via auto-edits.		
2026-07-12 00:00:00	S(A)K	תהלים צג,ב	"Added accent tarha to the letter מ in ""מֵ֖עוֹלָ֣ם"" (as found in AC and LC). Credit to Ben Denckla. To be imported via auto-edits."		
2026-07-12 00:00:00	S(A)K	תהלים נ,א; נה,כ; סח,לו	"Corrected legarmeih template to paseq template in ""אֵ֤ל ׀ אֱֽלֹהִ֡ים"" (Psalms 50:1) and ""יִשְׁמַ֤ע ׀ אֵ֨ל"" (Psalms 55:20) and ""נֹתֵ֨ן ׀ עֹ֖ז"" (Psalms 68:36). Added new documentation notes. Credit to Ben Denckla. To be imported via auto-edits."		
2026-07-12 00:00:00	S(A)K	תהלים קמז,א	"Added meteg in ""כִּֽי־ט֭וֹב"" (as found in AC). Credit to Ben Denckla. To be imported via auto-edits."		
